Idx: 0 | Timer: 157 | Active: 0 | txTime: 251 | Preamble: 26 | RAR window: 3 | Max RAR: 3 | Preamble reTx: 3 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 1 | Timer: 217 | Active: 0 | txTime: 216 | Preamble: 9 | RAR window: 3 | Max RAR: 2 | Preamble reTx: 4 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 2 | Timer: 85 | Active: 0 | txTime: 114 | Preamble: 41 | RAR window: 3 | Max RAR: 2 | Preamble reTx: 2 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 3 | Timer: 153 | Active: 0 | txTime: 157 | Preamble: 3 | RAR window: 5 | Max RAR: 2 | Preamble reTx: 3 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 4 | Timer: 77 | Active: 0 | txTime: 271 | Preamble: 13 | RAR window: 1 | Max RAR: 1 | Preamble reTx: 2 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 5 | Timer: 90 | Active: 0 | txTime: 134 | Preamble: 8 | RAR window: 2 | Max RAR: 3 | Preamble reTx: 2 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 6 | Timer: 90 | Active: 0 | txTime: 164 | Preamble: 10 | RAR window: 2 | Max RAR: 3 | Preamble reTx: 2 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 7 | Timer: 152 | Active: 0 | txTime: 171 | Preamble: 0 | RAR window: 4 | Max RAR: 2 | Preamble reTx: 3 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 8 | Timer: 273 | Active: 0 | txTime: 272 | Preamble: 10 | RAR window: 5 | Max RAR: 0 | Preamble reTx: 5 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 9 | Timer: 272 | Active: 0 | txTime: 281 | Preamble: 6 | RAR window: 4 | Max RAR: 0 | Preamble reTx: 5 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 10 | Timer: 81 | Active: 0 | txTime: 85 | Preamble: 19 | RAR window: 5 | Max RAR: 1 | Preamble reTx: 2 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 11 | Timer: 211 | Active: 0 | txTime: 210 | Preamble: 6 | RAR window: 3 | Max RAR: 1 | Preamble reTx: 4 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 12 | Timer: 211 | Active: 0 | txTime: 250 | Preamble: 37 | RAR window: 3 | Max RAR: 1 | Preamble reTx: 4 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
