Idx: 0 | Timer: 7 | Active: 0 | txTime: 16 | Preamble: 47 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 1 | Timer: 7 | Active: 0 | txTime: 41 | Preamble: 22 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 2 | Timer: 7 | Active: 0 | txTime: 96 | Preamble: 49 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 3 | Timer: 7 | Active: 0 | txTime: 16 | Preamble: 51 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 4 | Timer: 7 | Active: 0 | txTime: 6 | Preamble: 43 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 5 | Timer: 7 | Active: 0 | txTime: 31 | Preamble: 41 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 6 | Timer: 7 | Active: 0 | txTime: 11 | Preamble: 0 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 7 | Timer: 7 | Active: 0 | txTime: 206 | Preamble: 56 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 8 | Timer: 7 | Active: 0 | txTime: 21 | Preamble: 39 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 9 | Timer: 7 | Active: 0 | txTime: 36 | Preamble: 49 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
Idx: 10 | Timer: 7 | Active: 0 | txTime: 226 | Preamble: 24 | RAR window: 0 | Max RAR: 0 | Preamble reTx: 1 | MSG 2 Flag: 1 | ConnectRequest: 1 | MSG 4 Flag: 1
